question_id,title,body
875467,Java client certificates over HTTPS/SSL,"I am using Java 6 and am trying to create an HttpsURLConnection against a remote server, using a client certificate.
The server is using an selfsigned root certificate, and requires that a password-protected client certificate is presented. I've added the server root certificate and the client certificate to a default java keystore which I found in /System/Library/Frameworks/JavaVM.framework/Versions/1.6.0/Home/lib/security/cacerts (OSX 10.5).
The name of the keystore file seems to suggest that the client certificate is not supposed to go in there?
Anyway, adding the root certificate to this store solved the infamous javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed' problem.
However, I'm now stuck on how to use the client certificate. I've tried two approaches and neither gets me anywhere.
First, and preferred, try:
SSLSocketFactory sslsocketfactory = (SSLSocketFactory) SSLSocketFactory.getDefault();
URL url = new URL(""https://somehost.dk:3049"");
HttpsURLConnection conn = (HttpsURLConnection)url.openConnection();
conn.setSSLSocketFactory(sslsocketfactory);
InputStream inputstream = conn.getInputStream();
// The last line fails, and gives:
// javax.net.ssl.SSLHandshakeException: Received fatal alert: handshake_failure

I've tried skipping the HttpsURLConnection class (not ideal since I want to talk HTTP with the server), and do this instead:
SSLSocketFactory sslsocketfactory = (SSLSocketFactory) SSLSocketFactory.getDefault();
SSLSocket sslsocket = (SSLSocket) sslsocketfactory.createSocket(""somehost.dk"", 3049);
InputStream inputstream = sslsocket.getInputStream();
// do anything with the inputstream results in:
// java.net.SocketTimeoutException: Read timed out

I am not even sure that the client certificate is the problem here.
"
1638275,Handling an invalid security certificate using MATLAB&#39;s urlread command,"I'm accessing an internal database using MATLAB's urlread command, everything was working fine until the service was moved to a secure server (i.e. with an HTTPS address rather than an HTTP address). Now urlread no longer successfully retrieves results. It gives an error:

Error downloading URL. Your network connection may be down or your proxy settings improperly configured.

I believe the problem is that the service is using an invalid digital certificate since if I try to access the resource directly in a web browser I get ""untrusted connection"" warning which I am able to pass through by adding the site to an Exception list. urlread doesn't have an obvious way of handling this problem.
Under the hood urlread is using Java to access web resources, and the error is thrown at this line:
inputStream = urlConnection.getInputStream;

where urlConnection is a Java object: sun.net.www.protocol.https.HttpsURLConnectionImpl.
Anyone suggest a workaround for this problem?    
"
3508050,How can I get a list of trusted root certificates in Java?,"I would like to be able to get access to all trusted root certificates programmatically in a Java app.  
I was looking at the keystore interface, but I'm hoping to get the list of trusted roots that's implicit with the JRE.
Is this accessible anywhere?
"
304268,Getting a File&#39;s MD5 Checksum in Java,"I am looking to use Java to get the MD5 checksum of a file.  I was really surprised but I haven't been able to find anything that shows how to get the MD5 checksum of a file.
How is it done?
"
4687615,how to achieve transfer file between client and server using java socket,"I have implement the simple TCP server and TCP client classes which can send the message from client to server and the message will be converted to upper case on the server side, but how can I achieve transfer files from server to client and upload files from client to server. the following codes are what I have got.
TCPClient.java   
        import java.io.*;
        import java.net.*;
        import java.util.Scanner;

 class TCPClient {

public static void main(String args[]) throws Exception {
        int filesize=6022386;
        int bytesRead;
        int current = 0;
    String ipAdd="""";
    int portNum=0;
    boolean goes=false;
    if(goes==false){
    System.out.println(""please input the ip address of the file server"");
    Scanner scan=new Scanner(System.in);
    ipAdd=scan.nextLine();
    System.out.println(""please input the port number of the file server"");
    Scanner scan1=new Scanner(System.in);
    portNum=scan1.nextInt();
    goes=true;
    }
    System.out.println(""input done"");
    int timeCount=1;
    while(goes==true){
    //System.out.println(""connection establishing"");

    String sentence="""";
    String modifiedSentence;

    BufferedReader inFromUser = new BufferedReader(new InputStreamReader(
            System.in));

    Socket clientSocket = new Socket(ipAdd, portNum);
    //System.out.println(""connecting"");
    //System.out.println(timeCount);
    if(timeCount==1){
    sentence=""set"";
    //System.out.println(sentence);


    }
    if(timeCount!=1)
        sentence = inFromUser.readLine();
            if(sentence.equals(""close""))
                clientSocket.close();
            if(sentence.equals(""download""))
            {
                byte [] mybytearray  = new byte [filesize];
                InputStream is = clientSocket.getInputStream();
                FileOutputStream fos = new FileOutputStream(""C:\\users\\cguo\\kk.lsp"");
                BufferedOutputStream bos = new BufferedOutputStream(fos);
                bytesRead = is.read(mybytearray,0,mybytearray.length);
                current = bytesRead;
                do {
   bytesRead =
      is.read(mybytearray, current, (mybytearray.length-current));
   if(bytesRead >= 0) current += bytesRead;
} while(bytesRead > -1);

bos.write(mybytearray, 0 , current);
bos.flush();
long end = System.currentTimeMillis();
//System.out.println(end-start);
bos.close();
clientSocket.close();
            }
           // if(sentence.equals(""send""))
               // clientSocket.
    timeCount--;
    //System.out.println(""connecting1"");
    DataOutputStream outToServer = new DataOutputStream(clientSocket
            .getOutputStream());

    BufferedReader inFromServer = new BufferedReader(new InputStreamReader(
            clientSocket.getInputStream()));


    //System.out.println(""connecting2"");
    //System.out.println(sentence);
    outToServer.writeBytes(sentence + ""\n"");

    modifiedSentence = inFromServer.readLine();

    System.out.println(""FROM SERVER:"" + modifiedSentence);

    clientSocket.close();

}
}

}

TCPServer.java
          import java.io.*;
       import java.net.*;

     class TCPServer {
public static void main(String args[]) throws Exception {

    Socket s = null;

    int firsttime=1;


    while (true) {
        String clientSentence;
    String capitalizedSentence="""";

        ServerSocket welcomeSocket = new ServerSocket(3248);
        Socket connectionSocket = welcomeSocket.accept();

             //Socket sock = welcomeSocket.accept();


        BufferedReader inFromClient = new BufferedReader(
                new InputStreamReader(connectionSocket.getInputStream()));

        DataOutputStream outToClient = new DataOutputStream(
                connectionSocket.getOutputStream());

        clientSentence = inFromClient.readLine();
        //System.out.println(clientSentence);
                    if(clientSentence.equals(""download""))
                    {
                         File myFile = new File (""C:\\Users\\cguo\\11.lsp"");
  byte [] mybytearray  = new byte [(int)myFile.length()];
  FileInputStream fis = new FileInputStream(myFile);
  BufferedInputStream bis = new BufferedInputStream(fis);
  bis.read(mybytearray,0,mybytearray.length);
  OutputStream os = connectionSocket.getOutputStream();
  System.out.println(""Sending..."");
  os.write(mybytearray,0,mybytearray.length);
  os.flush();
  connectionSocket.close();
                    }
        if(clientSentence.equals(""set""))
            {outToClient.writeBytes(""connection is "");
            System.out.println(""running here"");
            //welcomeSocket.close();
             //outToClient.writeBytes(capitalizedSentence);
            }



        capitalizedSentence = clientSentence.toUpperCase() + ""\n"";


    //if(!clientSentence.equals(""quit""))
           outToClient.writeBytes(capitalizedSentence+""enter the message or command: "");


        System.out.println(""passed"");
        //outToClient.writeBytes(""enter the message or command: "");
        welcomeSocket.close();
    System.out.println(""connection terminated"");
    }
}

}
So, the TCPServer.java will be executed first, and then execute the TCPClient.java, and I try to use the if clause in the TCPServer.java to test what is user's input,now I really want to implement how to transfer files from both side(download and upload).Thanks.
"
20227,How do I use 3DES encryption/decryption in Java?,"Every method I write to encode a string in Java using 3DES can't be decrypted back to the original string.  Does anyone have a simple code snippet that can just encode and then decode the string back to the original string?
I know I'm making a very silly mistake somewhere in this code. Here's what I've been working with so far:
** note, I am not returning the BASE64 text from the encrypt method, and I am not base64 un-encoding in the decrypt method because I was trying to see if I was making a mistake in the BASE64 part of the puzzle.
public class TripleDESTest {

    public static void main(String[] args) {

        String text = ""kyle boon"";

        byte[] codedtext = new TripleDESTest().encrypt(text);
        String decodedtext  = new TripleDESTest().decrypt(codedtext);

        System.out.println(codedtext);
        System.out.println(decodedtext);
    }

    public byte[] encrypt(String message) {
        try {
            final MessageDigest md = MessageDigest.getInstance(""md5"");
            final byte[] digestOfPassword = md.digest(""HG58YZ3CR9"".getBytes(""utf-8""));
            final byte[] keyBytes = Arrays.copyOf(digestOfPassword, 24);
            for (int j = 0,  k = 16; j < 8;)
            {
                keyBytes[k++] = keyBytes[j++];
            }

            final SecretKey key = new SecretKeySpec(keyBytes, ""DESede"");
            final IvParameterSpec iv = new IvParameterSpec(new byte[8]);
            final Cipher cipher = Cipher.getInstance(""DESede/CBC/PKCS5Padding"");
            cipher.init(Cipher.ENCRYPT_MODE, key, iv);

            final byte[] plainTextBytes = message.getBytes(""utf-8"");
            final byte[] cipherText = cipher.doFinal(plainTextBytes);
            final String encodedCipherText = new sun.misc.BASE64Encoder().encode(cipherText);

            return cipherText;    
        }
        catch (java.security.InvalidAlgorithmParameterException e) { System.out.println(""Invalid Algorithm""); }
        catch (javax.crypto.NoSuchPaddingException e) { System.out.println(""No Such Padding""); }
        catch (java.security.NoSuchAlgorithmException e) { System.out.println(""No Such Algorithm""); }
        catch (java.security.InvalidKeyException e) { System.out.println(""Invalid Key""); }
        catch (BadPaddingException e) { System.out.println(""Invalid Key"");}
        catch (IllegalBlockSizeException e) { System.out.println(""Invalid Key"");}
        catch (UnsupportedEncodingException e) { System.out.println(""Invalid Key"");}

        return null;
    }

    public String decrypt(byte[] message) {
        try
        {
            final MessageDigest md = MessageDigest.getInstance(""md5"");
            final byte[] digestOfPassword = md.digest(""HG58YZ3CR9"".getBytes(""utf-8""));
            final byte[] keyBytes = Arrays.copyOf(digestOfPassword, 24);
            for (int j = 0,  k = 16; j < 8;)
            {
                keyBytes[k++] = keyBytes[j++];
            }

            final SecretKey key = new SecretKeySpec(keyBytes, ""DESede"");
            final IvParameterSpec iv = new IvParameterSpec(new byte[8]);
            final Cipher decipher = Cipher.getInstance(""DESede/CBC/PKCS5Padding"");
            decipher.init(Cipher.DECRYPT_MODE, key, iv);

            //final byte[] encData = new sun.misc.BASE64Decoder().decodeBuffer(message);
            final byte[] plainText = decipher.doFinal(message);

            return plainText.toString();            
        }
        catch (java.security.InvalidAlgorithmParameterException e) { System.out.println(""Invalid Algorithm""); }
        catch (javax.crypto.NoSuchPaddingException e) { System.out.println(""No Such Padding""); }
        catch (java.security.NoSuchAlgorithmException e) { System.out.println(""No Such Algorithm""); }
        catch (java.security.InvalidKeyException e) { System.out.println(""Invalid Key""); }
        catch (BadPaddingException e) { System.out.println(""Invalid Key"");}
        catch (IllegalBlockSizeException e) { System.out.println(""Invalid Key"");}
        catch (UnsupportedEncodingException e) { System.out.println(""Invalid Key"");}     
        catch (IOException e) {
            // TODO Auto-generated catch block
            e.printStackTrace();
        }

        return null;
    }
}

"
6788018,Image encryption/decryption using AES256 symmetric block ciphers,"Is there any good example of how to encrypt and decrypt image and other files with AES on Android?
"
415953,How can I generate an MD5 hash in Java?,"Is there any method to generate MD5 hash of a string in Java?
"
11624571,"ANDROID: SEND MAIL with PreConfigured mail:From Address without using mail provider(Like GMAIL,YAHOO pre-installed in ANDROID DEVICE)","I am trying to use RECOVER PASSWORD button which requires MAIL SENDING to correspondent USERNAME. I would like to know the way if somehow I can send MAIL (In Background) without using GMAIL, YAHOO(Pre Installed EMAIL Provider Service) with my own address like abc@abc.com to every user of my application.
Any Help is most welcome!!
"
13525279,How to encrypt a string such that it can be used as a part of a file path and then decrypt it in Android?,"In my application I have a requirement to encrypt a string that can contain the characters a-z, A-Z, 0-9, underscores, periods, and dashes and then we should be able to use that encrypted string as a part of a file path ie; /mnt/sdcard/encryptedstring/file/ and then I should be able to decrypt that string too. Could you please tell me if there is any way in which this can be achieved?
Thank you.
"
