question_id,answer_id,snippet_so,snippet_gpt
875467,876785,"import javax.net.ssl.*; import java.security.SecureRandom; import
java.security.cert.X509Certificate;

public class SSLTool {

  public static void disableCertificateValidation() {
    // Create a trust manager that does not validate certificate chains
    TrustManager[] trustAllCerts = new TrustManager[] { 
      new X509TrustManager() {
        public X509Certificate[] getAcceptedIssuers() { 
          return new X509Certificate[0]; 
        }
        public void checkClientTrusted(X509Certificate[] certs, String authType) {}
        public void checkServerTrusted(X509Certificate[] certs, String authType) {}
    }};

    // Ignore differences between given hostname and certificate hostname
    HostnameVerifier hv = new HostnameVerifier() {
      public boolean verify(String hostname, SSLSession session) { return true; }
    };

    // Install the all-trusting trust manager
    try {
      SSLContext sc = SSLContext.getInstance(""SSL"");
      sc.init(null, trustAllCerts, new SecureRandom());
      HttpsURLConnection.setDefaultSSLSocketFactory(sc.getSocketFactory());
      HttpsURLConnection.setDefaultHostnameVerifier(hv);
    } catch (Exception e) {}   } }
","
import java.io.InputStream;
import java.net.URL;
import javax.net.ssl.HttpsURLConnection;
import javax.net.ssl.SSLContext;
import javax.net.ssl.SSLSocketFactory;

public class ClientCertificateExample {
    public static void main(String[] args) throws Exception {
        // Load the client certificate keystore
        String keystorePath = ""/path/to/client_certificate_keystore.p12"";
        String keystorePassword = ""keystore_password"";
        String keystoreType = ""PKCS12"";
        
        System.setProperty(""javax.net.ssl.keyStore"", keystorePath);
        System.setProperty(""javax.net.ssl.keyStorePassword"", keystorePassword);
        System.setProperty(""javax.net.ssl.keyStoreType"", keystoreType);
        
        // Create SSL context with the default trust manager
        SSLContext sslContext = SSLContext.getInstance(""TLS"");
        sslContext.init(null, null, null);
        
        // Create SSL socket factory from the SSL context
        SSLSocketFactory sslSocketFactory = sslContext.getSocketFactory();
        
        // Create URL object with the remote server URL
        URL url = new URL(""https://somehost.dk:3049"");
        
        // Create HttpsURLConnection with the URL
        HttpsURLConnection conn = (HttpsURLConnection) url.openConnection();
        
        // Set the SSL socket factory on the connection
        conn.setSSLSocketFactory(sslSocketFactory);
        
        // Get the input stream from the connection
        InputStream inputStream = conn.getInputStream();
        
        // Use the input stream as needed
        // ...
        
        // Close the input stream and connection
        inputStream.close();
        conn.disconnect();
    }
}
"
1638275,1640099,"package com.stackoverflow;

import java.io.BufferedReader;
import java.io.InputStream;
import java.io.InputStreamReader;
import java.net.HttpURLConnection;
import java.net.URL;
import java.security.cert.X509Certificate;
import javax.net.ssl.HttpsURLConnection;
import javax.net.ssl.SSLContext;
import javax.net.ssl.SSLSession;
import javax.net.ssl.TrustManager;
import javax.net.ssl.X509TrustManager;
import javax.net.ssl.HostnameVerifier;

public class Downloader {
    public static String getData(String address) throws Exception {
        // Create a trust manager that does not validate certificate chains
        TrustManager[] trustAllCerts = new TrustManager[] {
            new X509TrustManager() {
                public java.security.cert.X509Certificate[] getAcceptedIssuers() {
                    return null;
                }
                public void checkClientTrusted(X509Certificate[] certs, String authType) {
                }
                public void checkServerTrusted(X509Certificate[] certs, String authType) {
                }
            }
        };

        // Create a host name verifier that always passes
        HostnameVerifier allHostsValid = new HostnameVerifier() {
            public boolean verify(String hostname, SSLSession session) {
                return true;
            }
        };

        // Install the all-trusting trust manager
        SSLContext sc = SSLContext.getInstance(""SSL"");
        sc.init(null, trustAllCerts, new java.security.SecureRandom());
        HttpsURLConnection.setDefaultSSLSocketFactory(sc.getSocketFactory());

        // Install the all-trusting host verifier
        HttpsURLConnection.setDefaultHostnameVerifier(allHostsValid);

        // open connection
        URL page = new URL(address);
        HttpURLConnection conn = (HttpURLConnection) page.openConnection();
        BufferedReader buff = new BufferedReader(new InputStreamReader(conn.getInputStream()));

        // read text
        String line;
        StringBuffer text = new StringBuffer();
        while ( (line = buff.readLine()) != null ) {
            //System.out.println(line);
            text.append(line + ""\n"");
        }
        buff.close();

        return text.toString();
    }

    public static void main(String[] argv) throws Exception {
        String str = getData(""https://expired.badssl.com/"");
        System.out.println(str);
    }
}
","
import javax.net.ssl.*;
import java.io.*;
import java.net.*;

public class UrlReadExample {

    public static void main(String[] args) throws Exception {
        // Disable SSL certificate validation
        TrustManager[] trustAllCerts = new TrustManager[] {
                new X509TrustManager() {
                    public java.security.cert.X509Certificate[] getAcceptedIssuers() {
                        return null;
                    }
                    public void checkClientTrusted(
                            java.security.cert.X509Certificate[] certs, String authType) {
                    }
                    public void checkServerTrusted(
                            java.security.cert.X509Certificate[] certs, String authType) {
                    }
                }
        };

        // Create a SSL context with the custom trust manager
        SSLContext sc = SSLContext.getInstance(""SSL"");
        sc.init(null, trustAllCerts, new java.security.SecureRandom());

        // Set the default SSL socket factory
        HttpsURLConnection.setDefaultSSLSocketFactory(sc.getSocketFactory());

        // Create an HTTP URL connection
        URL url = new URL(""https://example.com"");
        HttpURLConnection urlConnection = (HttpURLConnection) url.openConnection();

        // Read the response
        BufferedReader in = new BufferedReader(new InputStreamReader(urlConnection.getInputStream()));
        String inputLine;
        StringBuilder response = new StringBuilder();
        while ((inputLine = in.readLine()) != null) {
            response.append(inputLine);
        }
        in.close();

        // Print the response
        System.out.println(response.toString());
    }
}
"
3508050,3508175,"import java.io.File;
import java.io.FileInputStream;
import java.io.IOException;
import java.security.InvalidAlgorithmParameterException;
import java.security.KeyStore;
import java.security.KeyStoreException;
import java.security.NoSuchAlgorithmException;
import java.security.cert.CertificateException;
import java.security.cert.PKIXParameters;
import java.security.cert.TrustAnchor;
import java.security.cert.X509Certificate;
import java.util.Iterator;


public class Main {

    public static void main(String[] args) {
        try {
            // Load the JDK's cacerts keystore file
            String filename = System.getProperty(""java.home"") + ""/lib/security/cacerts"".replace('/', File.separatorChar);
            FileInputStream is = new FileInputStream(filename);
            KeyStore keystore = KeyStore.getInstance(KeyStore.getDefaultType());
            String password = ""changeit"";
            keystore.load(is, password.toCharArray());

            // This class retrieves the most-trusted CAs from the keystore
            PKIXParameters params = new PKIXParameters(keystore);

            // Get the set of trust anchors, which contain the most-trusted CA certificates
            Iterator it = params.getTrustAnchors().iterator();
            while( it.hasNext() ) {
                TrustAnchor ta = (TrustAnchor)it.next();
                // Get certificate
                X509Certificate cert = ta.getTrustedCert();
                System.out.println(cert);
            }
        } catch (CertificateException e) {
        } catch (KeyStoreException e) {
        } catch (NoSuchAlgorithmException e) {
        } catch (InvalidAlgorithmParameterException e) {
        } catch (IOException e) {
        } 
    }
}
","
import java.security.KeyStore;
import java.security.cert.Certificate;
import java.security.cert.X509Certificate;
import javax.net.ssl.TrustManagerFactory;

public class TrustedRootCertificates {
    public static void main(String[] args) throws Exception {
        // Get the trust manager factory
        TrustManagerFactory trustManagerFactory = TrustManagerFactory.getInstance(TrustManagerFactory.getDefaultAlgorithm());
        trustManagerFactory.init((KeyStore) null);

        // Get the default trust managers
        javax.net.ssl.TrustManager[] trustManagers = trustManagerFactory.getTrustManagers();

        // Iterate over each trust manager
        for (javax.net.ssl.TrustManager trustManager : trustManagers) {
            if (trustManager instanceof javax.net.ssl.X509TrustManager) {
                // Get the trusted root certificates
                X509Certificate[] trustedRootCertificates = ((javax.net.ssl.X509TrustManager) trustManager).getAcceptedIssuers();

                // Print information about each trusted root certificate
                for (X509Certificate certificate : trustedRootCertificates) {
                    System.out.println(""Subject DN: "" + certificate.getSubjectDN());
                    System.out.println(""Issuer DN: "" + certificate.getIssuerDN());
                    System.out.println(""Serial number: "" + certificate.getSerialNumber());
                    System.out.println();
                }
            }
        }
    }
}
"
304268,304275,"import java.io.*;
import java.security.MessageDigest;

public class MD5Checksum {

   public static byte[] createChecksum(String filename) throws Exception {
       InputStream fis =  new FileInputStream(filename);

       byte[] buffer = new byte[1024];
       MessageDigest complete = MessageDigest.getInstance(""MD5"");
       int numRead;

       do {
           numRead = fis.read(buffer);
           if (numRead > 0) {
               complete.update(buffer, 0, numRead);
           }
       } while (numRead != -1);

       fis.close();
       return complete.digest();
   }

   // see this How-to for a faster way to convert
   // a byte array to a HEX string
   public static String getMD5Checksum(String filename) throws Exception {
       byte[] b = createChecksum(filename);
       String result = """";

       for (int i=0; i < b.length; i++) {
           result += Integer.toString( ( b[i] & 0xff ) + 0x100, 16).substring( 1 );
       }
       return result;
   }

   public static void main(String args[]) {
       try {
           System.out.println(getMD5Checksum(""apache-tomcat-5.5.17.exe""));
           // output :
           //  0bb2827c5eacf570b6064e24e0e6653b
           // ref :
           //  http://www.apache.org/dist/
           //          tomcat/tomcat-5/v5.5.17/bin
           //              /apache-tomcat-5.5.17.exe.MD5
           //  0bb2827c5eacf570b6064e24e0e6653b *apache-tomcat-5.5.17.exe
       }
       catch (Exception e) {
           e.printStackTrace();
       }
   }
}
","
import java.io.FileInputStream;
import java.io.IOException;
import java.security.DigestInputStream;
import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;

public class FileChecksumExample {

    public static void main(String[] args) {
        try {
            String filePath = ""path/to/your/file.txt"";
            String checksum = getFileChecksum(filePath);
            System.out.println(""MD5 checksum: "" + checksum);
        } catch (NoSuchAlgorithmException | IOException e) {
            e.printStackTrace();
        }
    }

    private static String getFileChecksum(String filePath) throws NoSuchAlgorithmException, IOException {
        MessageDigest md5Digest = MessageDigest.getInstance(""MD5"");
        
        try (DigestInputStream dis = new DigestInputStream(new FileInputStream(filePath), md5Digest)) {
            while (dis.read() != -1) ;
            // DigestInputStream automatically updates the digest (MD5) in the background
            
            byte[] digest = md5Digest.digest();
            StringBuilder result = new StringBuilder();
            
            for (byte b : digest) {
                result.append(String.format(""%02x"", b)); // Convert byte to hexadecimal format
            }
            
            return result.toString();
        }
    }
}
"
4687615,4687706,"package filesendtest;

import java.io.*;
import java.io.ByteArrayOutputStream;
import java.net.*;

class TCPClient {

    private final static String serverIP = ""127.0.0.1"";
    private final static int serverPort = 3248;
    private final static String fileOutput = ""C:\\testout.pdf"";

    public static void main(String args[]) {
        byte[] aByte = new byte[1];
        int bytesRead;

        Socket clientSocket = null;
        InputStream is = null;

        try {
            clientSocket = new Socket( serverIP , serverPort );
            is = clientSocket.getInputStream();
        } catch (IOException ex) {
            // Do exception handling
        }

        ByteArrayOutputStream baos = new ByteArrayOutputStream();

        if (is != null) {

            FileOutputStream fos = null;
            BufferedOutputStream bos = null;
            try {
                fos = new FileOutputStream( fileOutput );
                bos = new BufferedOutputStream(fos);
                bytesRead = is.read(aByte, 0, aByte.length);

                do {
                        baos.write(aByte);
                        bytesRead = is.read(aByte);
                } while (bytesRead != -1);

                bos.write(baos.toByteArray());
                bos.flush();
                bos.close();
                clientSocket.close();
            } catch (IOException ex) {
                // Do exception handling
            }
        }
    }
}
","
import java.io.*;
import java.net.*;

class TCPServer {

    public static void main(String args[]) throws Exception {
        ServerSocket welcomeSocket = new ServerSocket(3248);
        System.out.println(""Server started!"");
        
        while (true) {
            Socket connectionSocket = welcomeSocket.accept();
            System.out.println(""New client connected: "" + connectionSocket.getInetAddress().getHostAddress());
            
            BufferedReader inFromClient = new BufferedReader(new InputStreamReader(connectionSocket.getInputStream()));
            DataOutputStream outToClient = new DataOutputStream(connectionSocket.getOutputStream());
            
            String clientSentence = inFromClient.readLine();
            String capitalizedSentence = """";
            
            if (clientSentence.equals(""download"")) {
                File myFile = new File(""C:\\Users\\cguo\\11.lsp"");
                byte[] mybytearray = new byte[(int) myFile.length()];
                FileInputStream fis = new FileInputStream(myFile);
                BufferedInputStream bis = new BufferedInputStream(fis);
                bis.read(mybytearray, 0, mybytearray.length);
                OutputStream os = connectionSocket.getOutputStream();
                System.out.println(""Sending file to client..."");
                os.write(mybytearray, 0, mybytearray.length);
                os.flush();
            } else {
                capitalizedSentence = clientSentence.toUpperCase() + ""\n"";
                outToClient.writeBytes(capitalizedSentence);
            }
            
            outToClient.close();
            inFromClient.close();
            connectionSocket.close();
        }
    }
}
"
4687615,4687706,"package filesendtest;

import java.io.*;
import java.net.*;

class TCPServer {

    private final static String fileToSend = ""C:\\test1.pdf"";

    public static void main(String args[]) {

        while (true) {
            ServerSocket welcomeSocket = null;
            Socket connectionSocket = null;
            BufferedOutputStream outToClient = null;

            try {
                welcomeSocket = new ServerSocket(3248);
                connectionSocket = welcomeSocket.accept();
                outToClient = new BufferedOutputStream(connectionSocket.getOutputStream());
            } catch (IOException ex) {
                // Do exception handling
            }

            if (outToClient != null) {
                File myFile = new File( fileToSend );
                byte[] mybytearray = new byte[(int) myFile.length()];

                FileInputStream fis = null;

                try {
                    fis = new FileInputStream(myFile);
                } catch (FileNotFoundException ex) {
                    // Do exception handling
                }
                BufferedInputStream bis = new BufferedInputStream(fis);

                try {
                    bis.read(mybytearray, 0, mybytearray.length);
                    outToClient.write(mybytearray, 0, mybytearray.length);
                    outToClient.flush();
                    outToClient.close();
                    connectionSocket.close();

                    // File sent, exit the main method
                    return;
                } catch (IOException ex) {
                    // Do exception handling
                }
            }
        }
    }
}
","
import java.io.*;
import java.net.*;

class TCPServer {

    public static void main(String args[]) throws Exception {
        ServerSocket welcomeSocket = new ServerSocket(3248);
        System.out.println(""Server started!"");
        
        while (true) {
            Socket connectionSocket = welcomeSocket.accept();
            System.out.println(""New client connected: "" + connectionSocket.getInetAddress().getHostAddress());
            
            BufferedReader inFromClient = new BufferedReader(new InputStreamReader(connectionSocket.getInputStream()));
            DataOutputStream outToClient = new DataOutputStream(connectionSocket.getOutputStream());
            
            String clientSentence = inFromClient.readLine();
            String capitalizedSentence = """";
            
            if (clientSentence.equals(""download"")) {
                File myFile = new File(""C:\\Users\\cguo\\11.lsp"");
                byte[] mybytearray = new byte[(int) myFile.length()];
                FileInputStream fis = new FileInputStream(myFile);
                BufferedInputStream bis = new BufferedInputStream(fis);
                bis.read(mybytearray, 0, mybytearray.length);
                OutputStream os = connectionSocket.getOutputStream();
                System.out.println(""Sending file to client..."");
                os.write(mybytearray, 0, mybytearray.length);
                os.flush();
            } else {
                capitalizedSentence = clientSentence.toUpperCase() + ""\n"";
                outToClient.writeBytes(capitalizedSentence);
            }
            
            outToClient.close();
            inFromClient.close();
            connectionSocket.close();
        }
    }
}
"
4687615,4687706,"package filesendtest;

import java.io.*;
import java.io.ByteArrayOutputStream;
import java.net.*;

class TCPClient {

    private final static String serverIP = ""127.0.0.1"";
    private final static int serverPort = 3248;
    private final static String fileOutput = ""C:\\testout.pdf"";

    public static void main(String args[]) {
        byte[] aByte = new byte[1];
        int bytesRead;

        Socket clientSocket = null;
        InputStream is = null;

        try {
            clientSocket = new Socket( serverIP , serverPort );
            is = clientSocket.getInputStream();
        } catch (IOException ex) {
            // Do exception handling
        }

        ByteArrayOutputStream baos = new ByteArrayOutputStream();

        if (is != null) {

            FileOutputStream fos = null;
            BufferedOutputStream bos = null;
            try {
                fos = new FileOutputStream( fileOutput );
                bos = new BufferedOutputStream(fos);
                bytesRead = is.read(aByte, 0, aByte.length);

                do {
                        baos.write(aByte);
                        bytesRead = is.read(aByte);
                } while (bytesRead != -1);

                bos.write(baos.toByteArray());
                bos.flush();
                bos.close();
                clientSocket.close();
            } catch (IOException ex) {
                // Do exception handling
            }
        }
    }
}
","
import java.io.*;
import java.net.*;
import java.util.Scanner;

class TCPClient {

    public static void main(String args[]) throws Exception {
        int filesize = 6022386;
        int bytesRead;
        int current = 0;
        String ipAdd = """";
        int portNum = 0;
        boolean goes = false;
        if (goes == false) {
            System.out.println(""please input the ip address of the file server"");
            Scanner scan = new Scanner(System.in);
            ipAdd = scan.nextLine();
            System.out.println(""please input the port number of the file server"");
            Scanner scan1 = new Scanner(System.in);
            portNum = scan1.nextInt();
            goes = true;
        }
        System.out.println(""input done"");
        int timeCount = 1;
        while (goes == true) {
            String sentence = """";
            String modifiedSentence;

            BufferedReader inFromUser = new BufferedReader(new InputStreamReader(
                    System.in));

            Socket clientSocket = new Socket(ipAdd, portNum);
            
            if (timeCount == 1) {
                sentence = ""set"";
            } else {
                sentence = inFromUser.readLine();
            }
            
            if (sentence.equals(""close"")) {
                clientSocket.close();
            } else if (sentence.equals(""download"")) {
                InputStream is = clientSocket.getInputStream();
                FileOutputStream fos = new FileOutputStream(""C:\\users\\cguo\\kk.lsp"");
                byte[] buffer = new byte[filesize];
                int bytesReadTotal = 0;
                while ((bytesRead = is.read(buffer)) != -1) {
                    fos.write(buffer, 0, bytesRead);
                    bytesReadTotal += bytesRead;
                }
                System.out.println(""File downloaded successfully. Total bytes read: "" + bytesReadTotal);
                fos.close();
            } else {
                DataOutputStream outToServer = new DataOutputStream(clientSocket.getOutputStream());
                BufferedReader inFromServer = new BufferedReader(new InputStreamReader(clientSocket.getInputStream()));
                
                outToServer.writeBytes(sentence + ""\n"");
                modifiedSentence = inFromServer.readLine();
                
                System.out.println(""FROM SERVER: "" + modifiedSentence);
                
                clientSocket.close();
            }
            
            timeCount--;
        }
    }
}
"
4687615,4687706,"package filesendtest;

import java.io.*;
import java.net.*;

class TCPServer {

    private final static String fileToSend = ""C:\\test1.pdf"";

    public static void main(String args[]) {

        while (true) {
            ServerSocket welcomeSocket = null;
            Socket connectionSocket = null;
            BufferedOutputStream outToClient = null;

            try {
                welcomeSocket = new ServerSocket(3248);
                connectionSocket = welcomeSocket.accept();
                outToClient = new BufferedOutputStream(connectionSocket.getOutputStream());
            } catch (IOException ex) {
                // Do exception handling
            }

            if (outToClient != null) {
                File myFile = new File( fileToSend );
                byte[] mybytearray = new byte[(int) myFile.length()];

                FileInputStream fis = null;

                try {
                    fis = new FileInputStream(myFile);
                } catch (FileNotFoundException ex) {
                    // Do exception handling
                }
                BufferedInputStream bis = new BufferedInputStream(fis);

                try {
                    bis.read(mybytearray, 0, mybytearray.length);
                    outToClient.write(mybytearray, 0, mybytearray.length);
                    outToClient.flush();
                    outToClient.close();
                    connectionSocket.close();

                    // File sent, exit the main method
                    return;
                } catch (IOException ex) {
                    // Do exception handling
                }
            }
        }
    }
}
","
import java.io.*;
import java.net.*;
import java.util.Scanner;

class TCPClient {

    public static void main(String args[]) throws Exception {
        int filesize = 6022386;
        int bytesRead;
        int current = 0;
        String ipAdd = """";
        int portNum = 0;
        boolean goes = false;
        if (goes == false) {
            System.out.println(""please input the ip address of the file server"");
            Scanner scan = new Scanner(System.in);
            ipAdd = scan.nextLine();
            System.out.println(""please input the port number of the file server"");
            Scanner scan1 = new Scanner(System.in);
            portNum = scan1.nextInt();
            goes = true;
        }
        System.out.println(""input done"");
        int timeCount = 1;
        while (goes == true) {
            String sentence = """";
            String modifiedSentence;

            BufferedReader inFromUser = new BufferedReader(new InputStreamReader(
                    System.in));

            Socket clientSocket = new Socket(ipAdd, portNum);
            
            if (timeCount == 1) {
                sentence = ""set"";
            } else {
                sentence = inFromUser.readLine();
            }
            
            if (sentence.equals(""close"")) {
                clientSocket.close();
            } else if (sentence.equals(""download"")) {
                InputStream is = clientSocket.getInputStream();
                FileOutputStream fos = new FileOutputStream(""C:\\users\\cguo\\kk.lsp"");
                byte[] buffer = new byte[filesize];
                int bytesReadTotal = 0;
                while ((bytesRead = is.read(buffer)) != -1) {
                    fos.write(buffer, 0, bytesRead);
                    bytesReadTotal += bytesRead;
                }
                System.out.println(""File downloaded successfully. Total bytes read: "" + bytesReadTotal);
                fos.close();
            } else {
                DataOutputStream outToServer = new DataOutputStream(clientSocket.getOutputStream());
                BufferedReader inFromServer = new BufferedReader(new InputStreamReader(clientSocket.getInputStream()));
                
                outToServer.writeBytes(sentence + ""\n"");
                modifiedSentence = inFromServer.readLine();
                
                System.out.println(""FROM SERVER: "" + modifiedSentence);
                
                clientSocket.close();
            }
            
            timeCount--;
        }
    }
}
"
4687615,4687706,"package filesendtest;

import java.io.*;
import java.io.ByteArrayOutputStream;
import java.net.*;

class TCPClient {

    private final static String serverIP = ""127.0.0.1"";
    private final static int serverPort = 3248;
    private final static String fileOutput = ""C:\\testout.pdf"";

    public static void main(String args[]) {
        byte[] aByte = new byte[1];
        int bytesRead;

        Socket clientSocket = null;
        InputStream is = null;

        try {
            clientSocket = new Socket( serverIP , serverPort );
            is = clientSocket.getInputStream();
        } catch (IOException ex) {
            // Do exception handling
        }

        ByteArrayOutputStream baos = new ByteArrayOutputStream();

        if (is != null) {

            FileOutputStream fos = null;
            BufferedOutputStream bos = null;
            try {
                fos = new FileOutputStream( fileOutput );
                bos = new BufferedOutputStream(fos);
                bytesRead = is.read(aByte, 0, aByte.length);

                do {
                        baos.write(aByte);
                        bytesRead = is.read(aByte);
                } while (bytesRead != -1);

                bos.write(baos.toByteArray());
                bos.flush();
                bos.close();
                clientSocket.close();
            } catch (IOException ex) {
                // Do exception handling
            }
        }
    }
}
","
import java.io.*;
import java.net.*;

class TCPServer {
    public static void main(String args[]) throws Exception {
        int firstTime = 1;

        ServerSocket welcomeSocket = new ServerSocket(3248);

        while (true) {
            Socket connectionSocket = welcomeSocket.accept();
            BufferedReader inFromClient = new BufferedReader(new InputStreamReader(connectionSocket.getInputStream()));
            DataOutputStream outToClient = new DataOutputStream(connectionSocket.getOutputStream());
            String clientSentence = inFromClient.readLine();
            
            if (clientSentence.equals(""download"")) {
                File myFile = new File(""C:\\Users\\cguo\\11.lsp"");
                byte[] mybytearray = new byte[(int) myFile.length()];
                FileInputStream fis = new FileInputStream(myFile);
                BufferedInputStream bis = new BufferedInputStream(fis);
                
                bis.read(mybytearray, 0, mybytearray.length);
                
                OutputStream os = connectionSocket.getOutputStream();
                os.write(mybytearray, 0, mybytearray.length);
                os.flush();
                os.close();
            } else if (clientSentence.equals(""upload"")) {
                byte[] mybytearray = new byte[6022386];
                InputStream is = connectionSocket.getInputStream();
                FileOutputStream fos = new FileOutputStream(""C:\\path\\to\\uploadedfile.txt"");
                BufferedOutputStream bos = new BufferedOutputStream(fos);
                
                int bytesRead;
                int current = 0;
                
                do {
                    bytesRead = is.read(mybytearray, current, (mybytearray.length - current));
                    
                    if (bytesRead >= 0) {
                        current += bytesRead;
                    }
                } while (bytesRead > -1);

                bos.write(mybytearray, 0, current);
                bos.flush();
                bos.close();
            } else if (clientSentence.equals(""set"")) {
                outToClient.writeBytes(""Connection is set.\n"");

            	outToClient.writeBytes(""Enter the message or command: "");
            } else {
                String capitalizedSentence = clientSentence.toUpperCase() + ""\n"";
                outToClient.writeBytes(capitalizedSentence + ""Enter the message or command: "");
            }

            connectionSocket.close();
        }
    }
}
"
4687615,4687706,"package filesendtest;

import java.io.*;
import java.net.*;

class TCPServer {

    private final static String fileToSend = ""C:\\test1.pdf"";

    public static void main(String args[]) {

        while (true) {
            ServerSocket welcomeSocket = null;
            Socket connectionSocket = null;
            BufferedOutputStream outToClient = null;

            try {
                welcomeSocket = new ServerSocket(3248);
                connectionSocket = welcomeSocket.accept();
                outToClient = new BufferedOutputStream(connectionSocket.getOutputStream());
            } catch (IOException ex) {
                // Do exception handling
            }

            if (outToClient != null) {
                File myFile = new File( fileToSend );
                byte[] mybytearray = new byte[(int) myFile.length()];

                FileInputStream fis = null;

                try {
                    fis = new FileInputStream(myFile);
                } catch (FileNotFoundException ex) {
                    // Do exception handling
                }
                BufferedInputStream bis = new BufferedInputStream(fis);

                try {
                    bis.read(mybytearray, 0, mybytearray.length);
                    outToClient.write(mybytearray, 0, mybytearray.length);
                    outToClient.flush();
                    outToClient.close();
                    connectionSocket.close();

                    // File sent, exit the main method
                    return;
                } catch (IOException ex) {
                    // Do exception handling
                }
            }
        }
    }
}
","
import java.io.*;
import java.net.*;

class TCPServer {
    public static void main(String args[]) throws Exception {
        int firstTime = 1;

        ServerSocket welcomeSocket = new ServerSocket(3248);

        while (true) {
            Socket connectionSocket = welcomeSocket.accept();
            BufferedReader inFromClient = new BufferedReader(new InputStreamReader(connectionSocket.getInputStream()));
            DataOutputStream outToClient = new DataOutputStream(connectionSocket.getOutputStream());
            String clientSentence = inFromClient.readLine();
            
            if (clientSentence.equals(""download"")) {
                File myFile = new File(""C:\\Users\\cguo\\11.lsp"");
                byte[] mybytearray = new byte[(int) myFile.length()];
                FileInputStream fis = new FileInputStream(myFile);
                BufferedInputStream bis = new BufferedInputStream(fis);
                
                bis.read(mybytearray, 0, mybytearray.length);
                
                OutputStream os = connectionSocket.getOutputStream();
                os.write(mybytearray, 0, mybytearray.length);
                os.flush();
                os.close();
            } else if (clientSentence.equals(""upload"")) {
                byte[] mybytearray = new byte[6022386];
                InputStream is = connectionSocket.getInputStream();
                FileOutputStream fos = new FileOutputStream(""C:\\path\\to\\uploadedfile.txt"");
                BufferedOutputStream bos = new BufferedOutputStream(fos);
                
                int bytesRead;
                int current = 0;
                
                do {
                    bytesRead = is.read(mybytearray, current, (mybytearray.length - current));
                    
                    if (bytesRead >= 0) {
                        current += bytesRead;
                    }
                } while (bytesRead > -1);

                bos.write(mybytearray, 0, current);
                bos.flush();
                bos.close();
            } else if (clientSentence.equals(""set"")) {
                outToClient.writeBytes(""Connection is set.\n"");

            	outToClient.writeBytes(""Enter the message or command: "");
            } else {
                String capitalizedSentence = clientSentence.toUpperCase() + ""\n"";
                outToClient.writeBytes(capitalizedSentence + ""Enter the message or command: "");
            }

            connectionSocket.close();
        }
    }
}
"
